Date,Fund1,Fund2,Fund3
16/12/2010,1370.40002441406,5881.10009765625,1242.86999511719
17/12/2010,1378.59997558594,5871.7998046875,1243.91003417969
20/12/2010,1385.5,5891.60009765625,1247.07995605469
21/12/2010,1388.19995117188,5951.7998046875,1254.59997558594
22/12/2010,1386.80004882813,5983.5,1258.83996582031
23/12/2010,1380,5996.10009765625,1256.77001953125
24/12/2010,,6008.89990234375,
27/12/2010,1382.40002441406,,1257.5400390625
28/12/2010,1405.19995117188,,1258.51000976563
29/12/2010,1413.09997558594,5996.39990234375,1259.78002929688
30/12/2010,1405.59997558594,5971,1257.88000488281
31/12/2010,1421.09997558594,5899.89990234375,1257.64001464844
03/01/2011,1422.59997558594,,1271.86999511719
04/01/2011,1378.5,6013.89990234375,1270.19995117188
05/01/2011,1373.40002441406,6043.89990234375,1276.56005859375
06/01/2011,1371.40002441406,6019.5,1273.84997558594
07/01/2011,1368.5,5984.2998046875,1271.5
10/01/2011,1373.69995117188,5956.2998046875,1269.75
11/01/2011,1384,6014,1274.47998046875
12/01/2011,1385.69995117188,6050.7001953125,1285.9599609375
13/01/2011,1386.90002441406,6023.89990234375,1283.76000976563
14/01/2011,1360.40002441406,6002.10009765625,1293.23999023438
17/01/2011,,5985.7001953125,
18/01/2011,1368.09997558594,6056.39990234375,1295.02001953125
19/01/2011,1370.19995117188,5976.7001953125,1281.92004394531
20/01/2011,1346.5,5867.89990234375,1280.26000976563
21/01/2011,1341,5896.2998046875,1283.34997558594
24/01/2011,1344.5,5943.89990234375,1290.83996582031
25/01/2011,1332.30004882813,5917.7001953125,1291.18005371094
26/01/2011,1333,5969.2001953125,1296.63000488281
27/01/2011,1318.40002441406,5965.10009765625,1299.5400390625
28/01/2011,1340.69995117188,5881.39990234375,1276.33996582031
31/01/2011,1333.80004882813,5862.89990234375,1286.11999511719
01/02/2011,1339.59997558594,5957.7998046875,1307.58996582031
02/02/2011,1331.5,6000.10009765625,1304.03002929688
03/02/2011,1352.30004882813,5983.2998046875,1307.09997558594
04/02/2011,1348.30004882813,5997.39990234375,1310.86999511719
07/02/2011,1347.59997558594,6051,1319.05004882813
08/02/2011,1363.40002441406,6091.2998046875,1324.56994628906
09/02/2011,1364.80004882812,6052.2998046875,1320.88000488281
10/02/2011,1361.90002441406,6020,1321.86999511719
11/02/2011,1359.90002441406,6062.89990234375,1329.15002441406
14/02/2011,1364.59997558594,6060.10009765625,1332.31994628906
15/02/2011,1373.59997558594,6037.10009765625,1328.01000976563
16/02/2011,1374.69995117188,6085.2998046875,1336.31994628906
17/02/2011,1384.69995117188,6087.39990234375,1340.43005371094
18/02/2011,1388.19995117188,6083,1343.01000976563
21/02/2011,,6014.7998046875,
22/02/2011,1400.5,5996.7998046875,1315.43994140625
23/02/2011,1413.40002441406,5923.5,1307.40002441406
24/02/2011,1415.30004882813,5920,1306.09997558594
25/02/2011,1408.69995117188,6001.2001953125,1319.88000488281
28/02/2011,1409.30004882813,5994,1327.21997070313
01/03/2011,1430.69995117188,5935.7998046875,1306.32995605469
02/03/2011,1437.19995117188,5914.89990234375,1308.43994140625
03/03/2011,1416,6005.10009765625,1330.96997070313
04/03/2011,1428.19995117188,5990.39990234375,1321.15002441406
07/03/2011,1434.09997558594,5973.7998046875,1310.13000488281
08/03/2011,1426.90002441406,5974.7998046875,1321.81994628906
09/03/2011,1429.30004882812,5937.2998046875,1320.02001953125
10/03/2011,1412.19995117188,5845.2998046875,1295.10998535156
11/03/2011,1421.5,5828.7001953125,1304.28002929688
14/03/2011,1424.59997558594,5775.2001953125,1296.39001464844
15/03/2011,1392.59997558594,5695.2998046875,1281.86999511719
16/03/2011,1396,5598.2001953125,1256.88000488281
17/03/2011,1404,5696.10009765625,1273.71997070313
18/03/2011,1415.90002441406,5718.10009765625,1279.2099609375
21/03/2011,1426.19995117188,5786.10009765625,1298.38000488281
22/03/2011,1427.5,5762.7001953125,1293.77001953125
23/03/2011,1437.90002441406,5795.89990234375,1297.5400390625
24/03/2011,1434.80004882813,5880.89990234375,1309.66003417969
25/03/2011,1426.09997558594,5900.7998046875,1313.80004882813
28/03/2011,1419.80004882813,5904.5,1310.18994140625
29/03/2011,1416,5932.2001953125,1319.43994140625
30/03/2011,1423.80004882813,5948.2998046875,1328.26000976563
31/03/2011,1438.90002441406,5908.7998046875,1325.82995605469
01/04/2011,1428.09997558594,6009.89990234375,1332.41003417969
04/04/2011,1432.19995117188,6017,1332.86999511719
05/04/2011,1451.80004882813,6007.10009765625,1332.63000488281
06/04/2011,1457.69995117187,6041.10009765625,1335.5400390625
07/04/2011,1458.5,6007.39990234375,1333.51000976563
